Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;;;;
Deutschland;;;;;;;
;;Verbraucherpreisindex;;Veränderung zum Vorjahresmonat;;Veränderung zum Vormonat;
;August;95,4;e;0,4;e;-0,1;e
;September;95,5;e;0,6;e;0,1;e
;Oktober;95,6;e;0,7;e;0,1;e
;November;95,0;e;0,7;e;-0,6;e
;Dezember;95,6;e;1,4;e;0,6;e
2017;Januar;95,1;e;1,6;e;-0,5;e
;Februar;95,6;e;1,8;e;0,5;e
;März;95,8;e;1,4;e;0,2;e
;April;96,2;e;1,7;e;0,4;e
;Mai;96,2;e;1,2;e;-;
;Juni;96,5;e;1,4;e;0,3;e
;Juli;96,9;e;1,5;e;0,4;e
;August;97,0;e;1,7;e;0,1;e
;September;97,0;e;1,6;e;-;
;Oktober;96,9;e;1,4;e;-0,1;e
;November;96,5;e;1,6;e;-0,4;e
;Dezember;96,9;e;1,4;e;0,4;e
2018;Januar;96,4;e;1,4;e;-0,5;e
;Februar;96,7;e;1,2;e;0,3;e
;März;97,2;e;1,5;e;0,5;e
;April;97,5;e;1,4;e;0,3;e
;Mai;98,2;e;2,1;e;0,7;e
;Juni;98,3;e;1,9;e;0,1;e
;Juli;98,7;e;1,9;e;0,4;e
;August;98,8;e;1,9;e;0,1;e
;September;99,0;e;2,1;e;0,2;e
;Oktober;99,1;e;2,3;e;0,1;e
;November;98,5;e;2,1;e;-0,6;e
;Dezember;98,5;e;1,7;e;-;
2019;Januar;97,7;e;1,3;e;-0,8;e
;Februar;98,1;e;1,4;e;0,4;e
;März;98,5;e;1,3;e;0,4;e
;April;99,4;e;1,9;e;0,9;e
;Mai;99,6;e;1,4;e;0,2;e
;Juni;99,9;e;1,6;e;0,3;e
;Juli;100,3;e;1,6;e;0,4;e
;August;100,2;e;1,4;e;-0,1;e
;September;100,2;e;1,2;e;-;
;Oktober;100,2;e;1,1;e;-;
;November;99,5;e;1,0;e;-0,7;e
;Dezember;100,0;e;1,5;e;0,5;e
2020;Januar;99,8;e;2,1;e;-0,2;e
;Februar;100,1;e;2,0;e;0,3;e
;März;100,3;e;1,8;e;0,2;e
;April;100,4;e;1,0;e;0,1;e
;Mai;100,4;e;0,8;e;-;
;Juni;100,5;e;0,6;e;0,1;e
;Juli;99,7;e;-0,6;e;-0,8;e
;August;99,7;e;-0,5;e;-;
;September;99,7;e;-0,5;e;-;
;Oktober;99,9;e;-0,3;e;0,2;e
;November;99,7;e;0,2;e;-0,2;e
;Dezember;99,8;e;-0,2;e;0,1;e
2021;Januar;101,0;e;1,2;e;1,2;e
;Februar;101,6;e;1,5;e;0,6;e
;März;102,1;e;1,8;e;0,5;e
;April;102,4;e;2,0;e;0,3;e
;Mai;102,6;e;2,2;e;0,2;e
;Juni;102,9;e;2,4;e;0,3;e
;Juli;103,4;e;3,7;e;0,5;e
;August;103,5;e;3,8;e;0,1;e
;September;103,8;e;4,1;e;0,3;e
;Oktober;104,3;e;4,4;e;0,5;e
;November;104,5;e;4,8;e;0,2;e
;Dezember;104,7;e;4,9;e;0,2;e
2022;Januar;105,2;e;4,2;e;0,5;e
;Februar;106,0;e;4,3;e;0,8;e
;März;108,1;e;5,9;e;2,0;e
;April;108,8;e;6,3;e;0,6;e
;Mai;109,8;e;7,0;e;0,9;e
;Juni;109,8;e;6,7;e;-;
;Juli;110,3;e;6,7;e;0,5;e
;August;110,7;e;7,0;e;0,4;e
;September;112,7;e;8,6;e;1,8;e
;Oktober;113,5;e;8,8;e;0,7;e
;November;113,7;e;8,8;e;0,2;e
;Dezember;113,2;e;8,1;e;-0,4;e
2023;Januar;114,3;e;8,7;e;1,0;e
;Februar;115,2;e;8,7;e;0,8;e
;März;116,1;e;7,4;e;0,8;e
;April;116,6;e;7,2;e;0,4;e
;Mai;116,5;e;6,1;e;-0,1;e
;Juni;116,8;e;6,4;e;0,3;e
;Juli;117,1;e;6,2;e;0,3;e
;August;117,5;e;6,1;e;0,3;e
;September;117,8;e;4,5;e;0,3;e
;Oktober;117,8;e;3,8;e;-;
;November;117,3;e;3,2;e;-0,4;e
;Dezember;117,4;e;3,7;e;0,1;e
2024;Januar;117,6;e;2,9;e;0,2;e
;Februar;118,1;e;2,5;e;0,4;e
;März;118,6;e;2,2;e;0,4;e
;April;119,2;e;2,2;e;0,5;e
;Mai;119,3;e;2,4;e;0,1;e
;Juni;119,4;e;2,2;e;0,1;e
;Juli;119,8;e;2,3;e;0,3;e
;August;119,7;e;1,9;e;-0,1;e
;September;119,7;e;1,6;e;-;
;Oktober;120,2;e;2,0;e;0,4;e
;November;119,9;e;2,2;e;-0,2;e
;Dezember;120,5;e;2,6;e;0,5;e
2025;Januar;120,3;e;2,3;e;-0,2;e
;Februar;120,8;e;2,3;e;0,4;e
;März;121,2;e;2,2;e;0,3;e
;April;121,7;e;2,1;e;0,4;e
;Mai;...;;...;;...;
;Juni;...;;...;;...;
;Juli;...;;...;;...;
;August;...;;...;;...;
;September;...;;...;;...;
;Oktober;...;;...;;...;
;November;...;;...;;...;
;Dezember;...;;...;;...;
__________
"Dezember 2024: 
Aufgrund des Umstiegs auf den Erhebungskatalog 2025 mit
erheblichen klassifikationsbedingten Strukturveränderungen
sind die Werte für Dezember 2024 vor allem im Hinblick auf
den Vormonatsvergleich teilweise in der Qualität
beeinflusst."
© Statistisches Bundesamt (Destatis), 2025
Stand: 15.05.2025 / 11:27:26
